Code,Type,Number,Brand,Model,Cc,Year,Comment,Picture
"608","VFCI","13","MERCEDES-BENZ","710","0","2000","-","0608-VTTU 13.jpg"
"608","VUCI","10","MERCEDES-BENZ","1117K/315","3000","1995","-","0608-VUCI 10.jpg"
"608","VTPT","5","UMM","ALTER 4X4 D","0","1987","-","0608-VTPT 05.jpg"
"608","VTPG","4","VOLKSWAGEN","GOLF CL","0","1992","-","0608-VTPG 04.jpg"
"608","VTPG","3","PEUGEOT","505 GRD","0","2000","-","0608-VTPG 03.jpg"
"608","VTPG","2","TOYOTA","HIACE VLH51V DIESEL","0","1988","-","0608-VTPG 02.jpg"
"621","VTPG","1","VOLKSWAGEN","-","0","2000","-","0621-VTPG1.jpg"
"621","VSAT","1","MAN","TGA 180","1000","1998","-","0621-VSAT1.jpg"
"621","VRCI","4","MERCEDES-BENZ","1619","5000","1975","-","0621-VRCI4.jpg"
"621","VLCI","1","UMM","ALTER 4X4 D","600","1990","-","0621-VLCI1.jpg"
"621","VFCI","6","MERCEDES-BENZ","1225AF/36 ATEGO","3500","2000","-","0621-VFCI6.jpg"
"621","VCOT","2","TOYOTA","LAND CRUISER Z70","0","1994","-","0621-VCOT2.jpg"
"621","ABTM","6","VOLKSWAGEN","-","0","2000","-","0621-ABTM6.jpg"
"621","ABTD","5","VOLKSWAGEN","-","0","2000","-","0621-ABTD5.jpg"
"621","ABTD","7","VOLKSWAGEN","-","0","2000","-","0621-ABTD7.jpg"
"621","ABSC","2","VOLKSWAGEN","-","0","2000","-","0621-ABSC2.jpg"
"608","VTGC","2","DAF","95-400 ATI","30000","1998","-","0608-VTGC 02.jpg"
"621","ABSC","1","VOLKSWAGEN","-","0","2000","-","0621-ABSC.jpg"
"608","VSAT","1","MERCEDES-BENZ","412D/35 SPRINTER","500","1999","-","0608-VSAT 01.jpg"
"608","VTGC","1","MERCEDES-BENZ","2219","19000","1979","-","0608-VTGC 01.jpg"
"608","VRCI","9","Renault","-","0","2000","-","0608-VRCI 09.jpg"
"608","VRCI","11","MERCEDES-BENZ","-","6000","2000","-","0608-VRCI 11.jpg"
"608","VRCI","8","MERCEDES-BENZ","1317AK/31","4000","1996","-","0608-VRCI 08.jpg"
"608","VLCI","2","LAND ROVER","109 LONG SERIE II","500","1981","-","0608-VLCI 02.jpg"
"906","VLCI","3","LAND ROVER","109 LONG V8","500","1983","-","0608-VLCI 03.jpg"
"608","ABTM","9","MERCEDES-BENZ","213D/30 CDI SPRINTER","0","2001","-","0608-ABTM 09.jpg"
"608","VCOT","1","MITSUBISHI","PAJERO GLS","0","1999","-","0608-VCOT 01.jpg"
"608","VCOT","2","MITSUBISHI","PAJERO 2.4","0","1992","-","0608-VCOT 02.jpg"
"608","VCOT","3","TOYOTA","HI-LUX 2.4D POLN65","0","1988","-","0608-VCOT 03.jpg"
"608","VE30","1","MAGIRUS DEUTZ","170D12F","0","1981","-","0608-VE30 01.jpg"
"608","VECI","12","MAN","-","0","2000","-","0608-VECI 12.jpg"
"608","VETA","1","MERCEDES-BENZ","206D","0","1974","-","0608-VETA 01.jpg"
"608","VFCI","4","MERCEDES-BENZ","UNIMOG U1350L","1800","1995","-","0608-VFCI 04.jpg"
"608","VFCI","5","MERCEDES-BENZ","UNIMOG U406","2000","1972","-","0608-VFCI 05.jpg"
"608","VFCI","6","RENAULT","JP13 JA 12","3000","1988","-","0608-VFCI 06.jpg"
"608","VFCI","7","MERCEDES-BENZ","UNIMOG","0","2000","-","0608-VFCI 07.jpg"
"608","ABTM","8","FORD","TRANSIT L100 VAN","0","1994","-","0608-ABTM 08.jpg"
"608","ABTD","7","MERCEDES-BENZ","213D/30 CDI SPRINTER","0","2001","-","0608-ABTD 07.jpg"
"608","ABTD","4","VOLKWAGEN","TRANSPORTER T4 2.4D","0","1994","-","0608-ABTD 04.jpg"
"608","ABTD","6","MERCEDES-BENZ","250D-T124","0","1990","-","0608-ABTD 06.jpg"
"608","ABTD","2","VOLKSWAGEN","TRANSPORTER T4 2.4D","0","1993","-","0608-ABTD 02.jpg"
"608","ABSC","4","MERCEDES-BENZ","Sprinter","0","2000","-","0608-ABSC 04.jpg"
"608","ABTD","1","PEUGEOT","505 GRD","0","1988","-","0608-ABTD 01.jpg"
"608","ABSC","2","MERCEDES-BENZ","312D/35 SPRINTER","0","2000","-","0608-ABSC 02.jpg"
"608","ABSC","1","MERCEDES-BENZ","313D/35 CDI SPRINTER","0","2001","-","0608-ABSC 01.jpg"
"607","VLCI","6","MERCEDES-BENZ","UNIMOG S404","800","1966","-","0607-VLCI 06.jpg"
"607","VLCI","7","LAND ROVER","130 2.5 TD5 DEFENDER","830","2001","-","0607-VLCI 07.jpg"
"607","VLCI","8","LAND ROVER","130 2.5 TD5 DEFENDER","830","2000","-","0607-VLCI 08.jpg"
"607","VTPG","3","MERCEDES-BENZ","110D/30 CDI VITO","0","2000","-","0607-VTPG 03.jpg"
"607","VTPG","2","MERCEDES-BENZ","110D/30 CDI VITO","0","2000","-","0607-VTPG 02.jpg"
"607","VUCI","1","MERCEDES-BENZ","-","0","2000","-","0607-VUCI 01.jpg"
"607","VTTR","3","MERCEDES-BENZ","1513","6000","1984","-","0607-VTTR 03.jpg"
"607","VTTR","1","MERCEDES-BENZ","1217AK/32","5000","1982","-","0607-VTTR 01.jpg"
"607","VTTR","2","MERCEDES-BENZ","L322/48","6000","1972","-","0607-VTTR 02.jpg"
"607","VSAT","1","IVECO","35E8.BTA DAILY","300","1995","-","0607-VSAT 01.jpg"
"607","VSAT","2","MERCEDES-BENZ","416D/35 CDI SPRINTER","300","2000","-","0607-VSAT 02.jpg"
"622","VLCI","2","LAND ROVER","110 2.5D TDI DEFENDE","700","1997","-","0622-VLCI2.jpg"
"607","VRCI","14","MERCEDES-BENZ","LAF1113B/42","3500","1970","-","0607-VRCI 14.jpg"
"607","VLCI","2","TOYOTA","HI-LUX 2.4D POLN65","600","1987","-","0607-VLCI 02.jpg"
"607","VLCI","4","MERCEDES-BENZ","UNIMOG S404","800","1979","-","0607-VLCI 04.jpg"
"607","VFCI","12","MERCEDES-BENZ","917AF/31","2500","1996","-","0607-VFCI 12.jpg"
"607","VFCI","13","MERCEDES-BENZ","917AF/31","2500","1998","-","0607-VFCI 13.jpg"
"607","VFCI","10","MERCEDES-BENZ","UNIMOG S404","1500","1971","-","0607-VFCI 10.jpg"
"607","VFCI","11","IVECO","80E17 WM","3000","1994","-","0607-VFCI 11.jpg"
"607","VE37","1","MERCEDES-BENZ","L1519","0","1988","-","0607-VE37 01.jpg"
"607","VFCI","9","MERCEDES-BENZ","UNIMOG S404","1500","1961","-","0607-VFCI 09.jpg"
"607","VCOT","2","NISSAN","PATROL JP260SFQ","0","1995","-","0607-VCOT 02.jpg"
"607","VCOT","1","MITSUBISHI","-","0","2000","-","0607-VCOT 01.jpg"
"607","VTTU","5","IVECO","MP190E38 EUROTECH","9000","2000","-","0607-VTTU 05.jpg"
"607","ABTM","7","MERCEDES-BENZ","313D/35 CDI SPRINTER","0","2003","-","0607-ABTM 07.jpg"
"607","VTTU","4","MERCEDES-BENZ","2631K ACTROS","15000","1999","-","0607-VTTU 04.jpg"
"607","ABTM","6","MERCEDES-BENZ","313D/35 CDI SPRINTER","0","2002","-","0607-ABTM 06.jpg"
"607","ABTD","4","MERCEDES-BENZ","250D-T124","0","1990","-","0607-ABTD 04.jpg"
"607","ABSC","9","MERCEDES-BENZ","SPRINTER","0","2000","-","0607-ABSC 09.jpg"
"607","ABSC","8","MERCEDES-BENZ","SPRINTER","0","2000","-","0607-ABSC 08.jpg"
"607","ABSC","5","MERCEDES-BENZ","312D/35 SPRINTER","0","2000","-","0607-ABSC 05.jpg"
"607","ABSC","4","MERCEDES-BENZ","312D/35 SPRINTER","0","1998","-","0607-ABSC 04.jpg"
"607","ABSC","3","FORD","TRANSIT L100 VAN","0","1998","-","0607-ABSC 03.jpg"
"607","ABSC","2","FORD","TRANSIT L100 VAN","0","1998","-","0607-ABSC 02.jpg"
"607","ABSC","1","FORD","TRANSIT 100 LG","0","1995","-","0607-ABSC 01.jpg"
"607","ABCI","2","MERCEDES-BENZ","SPRINTER","0","2000","-","0607-ABCI 02.jpg"
"607","ABCI","1","MERCEDES-BENZ","312D/35 SPRINTER","0","1999","-","0607-ABCI 01.jpg"
"908","ABSC","1","FORD","TRANSIT 100L VAN TA-","0","1995","-","0908-ABSC 01.jpg"
"908","ABSC","2","FORD","TRANSIT","0","2000","-","0908-ABSC 02.jpg"
"908","VSAT","1","LAND ROVER","109 LONG V8","400","1983","-","0908-VSAT01.jpg"
"908","ABSC","3","VOLKSWAGEN","LT35 TDI","0","2001","-","0908-ABSC 03.jpg"
"908","ABTD","3","MERCEDES- BENZ","VITO","0","2000","-","0908-ABTD 03.jpg"
"908","ABTD","4","MERCEDES- BENZ","250D-T124","0","1990","-","0908-ABTD 04.jpg"
"908","ABTD","5","MERCEDES- BENZ","VITO","0","2000","-","0908-ABTD 05.jpg"
"908","ABTD","7","MERCEDES- BENZ","250D-T124","0","2000","-","0908-ABTD 07.jpg"
"908","ABTD","8","MERCEDES-BENZ","213D/30 CDI SPRINTER","0","2002","-","0908-ABTD 08.jpg"
"908","ABTD","2","FORD","TRANSIT L100 VAN","0","1996","-","0908-ABTD02.jpg"
"908","ABTM","1","MERCEDES-BENZ","VITO","0","2000","-","0908-ABTM 01.jpg"
"908","ABTD","1","MERCEDES-BENZ","250D-T124","0","1991","-","0908-ABTD01.jpg"
"908","VCOT","1","TOYOTA","HI-LUX 2.4D POLN65","0","1989","-","0908-VCOT 01.jpg"
"907","VFCI","4","RENAULT","-","0","2000","-","0907-VFCI 04.jpg"
"907","VFCI","3","MERCEDES-BENZ","UNIMOG U100L","1200","1996","-","0907-VFCI 03.jpg"
"907","VTTU","1","VOLVO","FL6-16 ATP 80","8000","1996","-","0907-VTTU1.jpg"
"907","VFCI","5","MERCEDES BENZ","UNIMOG U1350L","1800","1995","-","0907-VFCI 05.jpg"
"907","VETA","1","LAND ROVER","110 2.5 TDI DEFENDER","0","1996","-","0907-VETA1.jpg"
"907","VCOT","1","NISSAN","TERRANO II S 2.7 TDI","0","2005","-","0907-VCOT1.jpg"
"907","ABTD","9","MERCEDES-BENZ","SPRINTER","0","2000","-","0907-ABT9.jpg"
"907","VUCI","3","MAGIRUS DEUTZ","2F16TS","4500","1987","-","0907 VUCI03.jpg"
"907","VUCI","2","SAVIEM","SM6D90","2500","1976","-","0907 VUCI02.jpg"
"907","VOPE","2","MERCEDES-BENZ","-","0","2000","-","0907 VOPE02.jpg"
"907","ABTD","4","CITROEN","JUMPY 2.0 HDI","0","2000","-","0907-ABTD 04.jpg"
"907","ABTD","6","Ford","Transit","0","2000","-","0907-ABTD 06.jpg"
"907","ABTD","8","MERCEDES-BENZ","250D-T124","0","1988","-","0907-ABTD 08.jpg"
"907","VETA","2","IVECO","-","0","2000","-","0907-VETA 02.jpg"
"907","VFCI","1","IVECO","40E10 WM TURBODAILY","1000","1986","-","0907-VFCI 01.jpg"
"907","VFCI","2","RENAULT","85-150 34CD 4X4","1800","2000","-","0907-VFCI 02.jpg"
"907","ABTD","3","MERCEDES-BENZ","213D/30 CDI SPRINTER","0","2000","-","0907 ABTD03.jpg"
